fecha_inicio,fecha_fin,dias_entre_fechas,dias_evaluados,dias_no_evaluados,hora_apertura,v_rango,v_espera,TP_Ticks,SL_ticks,Tipo_vela_rompimiento,duracion_vela,tick_size,dias_sin_entrada,TPs_alcanzados,SLs_alcanzados,Ticks_totales_TPs,Ticks_totales_SLs,Ticks_totales_estrategia,Margen_Utilidad_2,Absoluto_Ticks_totales,Margen_Utilidad
44938,45626,689,366,323,0.75,18,18,185,185,0,5,0.00001,150,108,108,19980,19980,0,0,0,0
44938,45626,689,366,323,0.75,24,1,85,85,0,5,0.00001,342,12,12,1020,1020,0,0,0,0
44938,45626,689,366,323,0.75,24,1,135,135,0,5,0.00001,342,12,12,1620,1620,0,0,0,0
44938,45626,689,366,323,0.75,24,1,160,160,0,5,0.00001,342,12,12,1920,1920,0,0,0,0
44938,45626,689,366,323,0.75,24,1,185,185,0,5,0.00001,342,12,12,2220,2220,0,0,0,0
44938,45626,689,366,323,0.75,24,3,60,135,0,5,0.00001,301,45,20,2700,2700,0,0,0,0
44938,45626,689,366,323,0.75,24,6,160,160,1,5,0.00001,212,77,77,12320,12320,0,0,0,0
44938,45626,689,366,323,0.75,24,6,235,235,1,5,0.00001,212,77,77,18095,18095,0,0,0,0
44938,45626,689,366,323,0.75,24,12,85,85,1,5,0.00001,166,100,100,8500,8500,0,0,0,0
44938,45626,689,366,323,0.75,24,12,260,260,0,5,0.00001,200,83,83,21580,21580,0,0,0,0
44938,45626,689,366,323,0.75,24,12,310,310,0,5,0.00001,200,83,83,25730,25730,0,0,0,0
44938,45626,689,366,323,0.791666667,0,1,360,160,0,5,0.00001,249,36,81,12960,12960,0,0,0,0
44938,45626,689,366,323,0.791666667,0,3,135,135,0,5,0.00001,164,101,101,13635,13635,0,0,0,0
44938,45626,689,366,323,0.791666667,0,12,60,260,0,5,0.00001,110,208,48,12480,12480,0,0,0,0
44938,45626,689,366,323,0.791666667,0,12,85,85,0,5,0.00001,110,128,128,10880,10880,0,0,0,0
44938,45626,689,366,323,0.791666667,0,12,135,135,0,5,0.00001,110,128,128,17280,17280,0,0,0,0
